Source_ID,SS,SSBS
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  49
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  5
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  50
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  51
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  52
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  53
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  54
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  55
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  56
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  57
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  58
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  59
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  6
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  60
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  61
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  62
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  63
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  64
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  65
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  66
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  67
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  69
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  7
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  70
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  71
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  72
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  73
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  74
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  75
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  76
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  77
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  78
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  8
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  80
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  81
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  82
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  83
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  84
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  85
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  86
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  87
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  88
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  89
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  9
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  90
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  93
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  94
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  95
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  96
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  97
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  98
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  99
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 B 2
